manufacturer,range,model,capcode,derivative,introduced,discontinued,doors,drivetrain,transmission,fueltype,bodystyle
"MORGAN","PLUS FOUR","PLUS FOUR TOURER","MOP420S4 2TPIM  1","[154] 2dr [4 seats]","Wed Apr 01 00:00:00 BST 2015","","2","R","M","P","Sports"
"MORGAN","PLUS FOUR","PLUS FOUR TOURER","MOP4202  2TPIM  1","[154] 2dr","Wed Apr 01 00:00:00 BST 2015","","2","R","M","P","Sports"
"FIAT","500","500 HATCHBACK","FI5012PSR3HPIA","1.2 Pop Star 3dr Dualogic","Wed Apr 01 00:00:00 BST 2015","Tue Jun 30 00:00:00 BST 2015","3","F","A","P","Hatchback"
"FIAT","500","500 HATCHBACK","FI5009PSR3HPTM","0.9 TwinAir Pop Star 3dr","Wed Apr 01 00:00:00 BST 2015","Tue Jun 30 00:00:00 BST 2015","3","F","M","P","Hatchback"
"FIAT","500","500 HATCHBACK","FI5009PSR3HPTA","0.9 TwinAir Pop Star 3dr Dualogic","Wed Apr 01 00:00:00 BST 2015","Tue Jun 30 00:00:00 BST 2015","3","F","A","P","Hatchback"
"FIAT","500","500 HATCHBACK","FI5009PS53HPTM","0.9 TwinAir 105 Pop Star 3dr","Wed Apr 01 00:00:00 BST 2015","Tue Jun 30 00:00:00 BST 2015","3","F","M","P","Hatchback"
"FIAT","500","500 HATCHBACK","FI5012PSR3HPIM","1.2 Pop Star 3dr","Wed Apr 01 00:00:00 BST 2015","Tue Jun 30 00:00:00 BST 2015","3","F","M","P","Hatchback"
"FIAT","500","500 DIESEL HATCHBACK","FI5012PS93HDTM","1.3 Multijet 95 Pop Star 3dr","Wed Apr 01 00:00:00 BST 2015","Tue Jun 30 00:00:00 BST 2015","3","F","M","D","Hatchback"
"CITROEN","C5","C5 DIESEL SALOON","CIC520V5T4SDTM","2.0 BlueHDi 16V VTR+ [150] 4dr [Techno Pack]","Wed Jul 01 00:00:00 BST 2015","Tue May 01 00:00:00 BST 2018","4","F","M","D","Saloon"
"CITROEN","C5","C5 DIESEL SALOON","CIC520E5T4SDTM","2.0 BlueHDi 16V Exclusive [150] 4dr [Techno Pack]","Wed Jul 01 00:00:00 BST 2015","Tue May 01 00:00:00 BST 2018","4","F","M","D","Saloon"
"CITROEN","C5","C5 DIESEL SALOON","CIC520E8T4SDTA","2.0 BlueHDI 16V Exclusive 180 4dr EAT6 Techno Pk","Wed Jul 01 00:00:00 BST 2015","Tue May 01 00:00:00 BST 2018","4","F","A","D","Saloon"
"CITROEN","C5","C5 DIESEL TOURER","CIC520V5T5TDTM","2.0 BlueHDi 16V VTR+ [150] 5dr [Techno Pack]","Wed Jul 01 00:00:00 BST 2015","Tue May 01 00:00:00 BST 2018","5","F","M","D","Estate"
"CITROEN","C5","C5 DIESEL TOURER","CIC520E5T5TDTM","2.0 BlueHDi 16V Exclusive [150] 5dr [Techno Pack]","Wed Jul 01 00:00:00 BST 2015","Tue May 01 00:00:00 BST 2018","5","F","M","D","Estate"
"CITROEN","C5","C5 DIESEL TOURER","CIC520E8T5TDTA","2.0 BlueHDI 16V Exclusive 180 5dr EAT6 Techno Pk","Wed Jul 01 00:00:00 BST 2015","Tue May 01 00:00:00 BST 2018","5","F","A","D","Estate"
"FIAT","FIORINO","FIORINO COMBI DIESEL ESTATE","FIFI12AT85EDTA","1.3 Multijet 80 Active 5dr [5 seat] Comfort Matic","Wed Jul 01 00:00:00 BST 2015","Fri Jun 24 00:00:00 BST 2016","5","F","A","D","Estate"
"FIAT","FIORINO","FIORINO COMBI DIESEL ESTATE","FIFI12AT85EDTM","1.3 Multijet 80 Active 5dr [5 seat]","Wed Jul 01 00:00:00 BST 2015","Fri Jun 24 00:00:00 BST 2016","5","F","M","D","Estate"
"FIAT","FIORINO","FIORINO COMBI DIESEL ESTATE","FIFI12AD95EDTM","1.3 Multijet 95 Adventure 5dr [5 seat]","Wed Jul 01 00:00:00 BST 2015","Fri Jun 24 00:00:00 BST 2016","5","F","M","D","Estate"
"FIAT","FIORINO","FIORINO COMBI DIESEL ESTATE","FIFI12AT95EDTM","1.3 Multijet 95 Active 5dr [5 seat] Start Stop","Wed Jul 01 00:00:00 BST 2015","Fri Jun 24 00:00:00 BST 2016","5","F","M","D","Estate"
